facility_id,name,state,city,postcode,latitude,longitude,specialties,description,capability,procedure,equipment,source_urls,numberDoctors,capacity,yearEstablished
FAC-00000,Jodhpur Healthcare Center 1,Rajasthan,Jodhpur,877572,22.75029318369119,74.23210738148823,General,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/0,50,,2015
FAC-00001,Jaipur Healthcare Center 2,Rajasthan,Jaipur,198246,22.186379748036032,77.05355288103362,General,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/1,50,50 beds,2015
FAC-00002,Mumbai Healthcare Center 3,Maharashtra,Mumbai,717889,22.781907082306628,80.69300320792934,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/2,25,100 beds,2005
FAC-00003,Patna Healthcare Center 4,Bihar,Patna,900581,23.36594545112627,72.92745843380148,General,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/3,12,100 beds,2005
FAC-00004,Jaipur Healthcare Center 5,Rajasthan,Jaipur,662275,21.248261628532095,81.2229537202816,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/4,50,100 beds,2005
FAC-00005,Bhopal Healthcare Center 6,Madhya Pradesh,Bhopal,838797,20.69555148823741,78.6126331856771,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/5,,50 beds,
FAC-00006,Kolkata Healthcare Center 7,West Bengal,Kolkata,575435,26.356844442644004,75.64832178970084,Super-specialty,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/6,12,50 beds,2005
FAC-00007,Jodhpur Healthcare Center 8,Rajasthan,Jodhpur,765822,21.71138648198097,79.29126797950349,Multi-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/7,25,200 beds,2005
FAC-00008,Ahmedabad Healthcare Center 9,Gujarat,Ahmedabad,817870,23.24282734415322,79.68313577592372,General,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/8,5,,2005
FAC-00009,Kolkata Healthcare Center 10,West Bengal,Kolkata,169403,22.109828435863264,81.42909714335055,Super-specialty,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/9,5,200 beds,2015
FAC-00010,Chennai Healthcare Center 11,Tamil Nadu,Chennai,377746,21.39630319525506,79.44988982091607,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/10,50,200 beds,2015
FAC-00011,Lucknow Healthcare Center 12,Uttar Pradesh,Lucknow,245051,25.095262936764644,72.90909412173794,General,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/11,,50 beds,1995
FAC-00012,Kolkata Healthcare Center 13,West Bengal,Kolkata,166613,23.847673116745,77.95888428361128,,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/12,50,100 beds,
FAC-00013,Jodhpur Healthcare Center 14,Rajasthan,Jodhpur,887352,22.66825189952543,78.40961798579808,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/13,12,200 beds,1995
FAC-00014,Chennai Healthcare Center 15,Tamil Nadu,Chennai,857168,28.758529403781942,74.63389050751091,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/14,50,,2005
FAC-00015,Ahmedabad Healthcare Center 16,Gujarat,Ahmedabad,308573,21.52839268549635,79.62510800075151,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/15,50,100 beds,2015
FAC-00016,Jaipur Healthcare Center 17,Rajasthan,Jaipur,480612,28.787218778231843,80.3166552936118,Super-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/16,5,,1995
FAC-00017,Bhopal Healthcare Center 18,Madhya Pradesh,Bhopal,189814,27.319075948446276,80.16023253420089,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/17,5,200 beds,1995
FAC-00018,Bengaluru Healthcare Center 19,Karnataka,Bengaluru,736059,24.23137940200887,74.11798205442082,Multi-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/18,12,200 beds,2005
FAC-00019,Chennai Healthcare Center 20,Tamil Nadu,Chennai,573417,21.21004195868266,74.24697337031557,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/19,,50 beds,1995
FAC-00020,Jaipur Healthcare Center 1,Rajasthan,Jaipur,842225,26.31102957270099,74.28941783811155,General,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/20,12,,1995
FAC-00021,Bengaluru Healthcare Center 2,Karnataka,Bengaluru,324643,25.392339313947545,79.23352565880971,,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/21,5,200 beds,2015
FAC-00022,Mumbai Healthcare Center 3,Maharashtra,Mumbai,201639,26.58982749514663,75.54297566589554,,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/22,25,,
FAC-00023,Jaipur Healthcare Center 4,Rajasthan,Jaipur,863587,23.393026053949633,80.6167253635279,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/23,5,50 beds,2015
FAC-00024,Patna Healthcare Center 5,Bihar,Patna,292401,22.785451446669406,74.49806447882101,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/24,25,,
FAC-00025,Ahmedabad Healthcare Center 6,Gujarat,Ahmedabad,197793,29.263669830081277,80.48695734414305,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/25,25,200 beds,2015
FAC-00026,Mumbai Healthcare Center 7,Maharashtra,Mumbai,161483,21.646371214015268,72.02155378351426,,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/26,12,200 beds,2005
FAC-00027,Kolkata Healthcare Center 8,West Bengal,Kolkata,794022,27.18408275296326,73.54796825274065,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/27,5,,
FAC-00028,Lucknow Healthcare Center 9,Uttar Pradesh,Lucknow,152578,25.841775944589713,77.02850382919513,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/28,,,1995
FAC-00029,Jodhpur Healthcare Center 10,Rajasthan,Jodhpur,171262,26.7521255360409,74.35203895000932,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/29,50,50 beds,
FAC-00030,Bhopal Healthcare Center 11,Madhya Pradesh,Bhopal,539589,26.573731644725225,77.6522692384409,Super-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/30,12,50 beds,2005
FAC-00031,Mumbai Healthcare Center 12,Maharashtra,Mumbai,515011,21.308782821274566,78.4550078883765,,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/31,12,,
FAC-00032,Chennai Healthcare Center 13,Tamil Nadu,Chennai,690341,29.960964478550945,72.73260721099633,Multi-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/32,50,100 beds,1995
FAC-00033,Lucknow Healthcare Center 14,Uttar Pradesh,Lucknow,356150,23.69527088738884,73.57746832357232,Super-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/33,50,,2005
FAC-00034,Jodhpur Healthcare Center 15,Rajasthan,Jodhpur,377312,21.154286704191023,73.07035977709418,Multi-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/34,12,100 beds,1995
FAC-00035,Lucknow Healthcare Center 16,Uttar Pradesh,Lucknow,820892,26.342379588850797,74.6398390163041,,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/35,12,,
FAC-00036,Kolkata Healthcare Center 17,West Bengal,Kolkata,146228,20.035456890877825,79.71119223019627,Super-specialty,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/36,5,200 beds,2015
FAC-00037,Ahmedabad Healthcare Center 18,Gujarat,Ahmedabad,217308,20.75243860073767,80.83106393300143,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/37,50,,2005
FAC-00038,Bhopal Healthcare Center 19,Madhya Pradesh,Bhopal,255287,24.297867128807717,72.41828858168857,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/38,,100 beds,1995
FAC-00039,Mumbai Healthcare Center 20,Maharashtra,Mumbai,470858,27.801162418714426,80.84134701451009,,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/39,50,50 beds,1995
FAC-00040,Patna Healthcare Center 1,Bihar,Patna,532322,20.24786361898189,79.36564471755082,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/40,25,50 beds,2005
FAC-00041,Patna Healthcare Center 2,Bihar,Patna,501124,28.721667829060898,80.58593251337781,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/41,5,200 beds,2005
FAC-00042,Bengaluru Healthcare Center 3,Karnataka,Bengaluru,333752,20.236644347014515,73.93129788327708,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/42,12,,2005
